Time,TotalError,AverageError,ManTrackedCells,AutoTrackedCells
311,2597.1613706983985,6.125380591269808,424,1225
312,2544.275102186118,6.000648825910656,424,1225
313,2451.395656927375,5.781593530489092,424,1231
314,2493.684678390191,5.895235646312508,423,1244
315,2400.207471332012,5.64754699136944,425,1248
316,2608.734322612691,6.138198406147508,425,1252
317,2547.9579858093252,5.995195260727824,425,1256
318,2508.4969997182297,5.9023458816899526,425,1262
319,2550.6281080046565,6.001477901187427,425,1265
320,2601.4899976998604,6.1211529357643775,425,1269
321,2620.973161969507,6.181540476343177,424,1271
322,2506.4284956847955,5.883634966396234,426,1278
323,2509.6165153427683,5.932899563458081,423,1295
324,2434.054003901889,5.727185891533856,425,1300
325,2461.554966108334,5.7918940379019626,425,1314
326,2551.869249130785,6.047083528745937,422,1318
327,2630.4730989723853,6.233348575763946,422,1339
328,2567.421925497847,6.083938212080207,422,1341
329,2599.8018953761098,6.190004512800261,420,1351
330,2536.0797129447737,6.009667566219843,422,1364
331,2599.070302352261,6.158934365763652,422,1361
332,2573.6430265012486,6.098680157585897,422,1370
333,2545.8717082043104,6.032871346455712,422,1376
334,2516.5938572871682,5.963492552813195,422,1375
335,2581.1960054338338,6.116578211928516,422,1382
336,2610.942775716853,6.216530418373459,420,1393
337,2570.456519995936,6.13474109784233,419,1389
338,2575.5074799631593,6.132160666578951,420,1400
339,2425.557744958993,5.747767168149273,422,1410
340,2336.4406663879317,5.53658925684344,422,1428
341,2358.9409962439113,5.589907574037705,422,1439
342,2402.515090624611,5.693163721859268,422,1440
343,2386.0011475268725,5.654031155276949,422,1437
344,2375.642181525878,5.629483842478384,422,1447
345,2366.4720436143652,5.607753657853946,422,1458
346,2372.99340159194,5.649984289504618,420,1464
347,2279.3559838261444,5.427038056728915,420,1477
348,2253.846823128607,5.366301959830016,420,1489
349,2181.18956275806,5.193308482757287,420,1495
350,2190.989975631542,5.216642799122719,420,1496
351,2150.04825584427,5.119162513914929,420,1503
352,2177.6038562459335,5.197145241637073,419,1497
353,2210.8254997835943,5.251366982858894,421,1499
354,2227.354112777838,5.290627346265649,421,1493
355,2324.1980555952396,5.5206604645967685,421,1501
356,2356.282699489848,5.596871020165909,421,1507
357,2319.674057021608,5.509914624754413,421,1497
358,2328.676459789341,5.531298004250217,421,1496
359,2294.7994795529016,5.450830117702854,421,1494
360,2150.384996028154,5.107802840921981,421,1478
361,2133.9081573855997,5.068665456972921,421,1466
362,2083.031360820824,4.9478179591943565,421,1454
363,2118.3511581920134,5.031712964826635,421,1443
364,2283.6917442425797,5.424445948319667,421,1425
365,2343.3614433180364,5.566179200280372,421,1419
366,2283.4396471194336,5.423847142801505,421,1385
367,2441.19948021738,5.798573587214679,421,1326
368,2961.0396657516503,7.033348374707008,421,1175
